Word name	Part of speech	Definition
Amygdaloid	a.	Alt. of Amygdaloidal
Amygdaloidal	a.	Almond-shaped.
Amygdaloidal	a.	Pertaining to, or having the nature of, the rock amygdaloid.
Amyl	n.	A hydrocarbon radical, C5H11, of the paraffine series found in amyl alcohol or fusel oil, etc.
Amylaceous	a.	Pertaining to starch; of the nature of starch; starchy.
Amylate	n.	A compound of the radical amyl with oxygen and a positive atom or radical.
Amylene	n.	One of a group of metameric hydrocarbons, C5H10, of the ethylene series. The colorless, volatile, mobile liquid commonly called amylene is a mixture of different members of the group.
Amylic	a.	Pertaining to, or derived from, amyl; as, amylic ether.
Amylobacter	n.	A microorganism (Bacillus amylobacter) which develops in vegetable tissue during putrefaction.
Amyloid	a.	Alt. of Amyloidal
Amyloidal	a.	Resembling or containing amyl; starchlike.
Amyloid	n.	A non-nitrogenous starchy food; a starchlike substance.
Amyloid	n.	The substance deposited in the organs in amyloid degeneration.
Amylolytic	a.	Effecting the conversion of starch into soluble dextrin and sugar; as, an amylolytic ferment.
Amylose	n.	One of the starch group (C6H10O5)n of the carbohydrates; as, starch, arabin, dextrin, cellulose, etc.
Amyous	a.	Wanting in muscle; without flesh.
Amyss	n.	Same as Amice, a hood or cape.
An		"This word is properly an adjective, but is commonly called the indefinite article. It is used before nouns of the singular number only, and signifies one, or any, but somewhat less emphatically. In such expressions as ""twice an hour,"" ""once an age,"" a shilling an ounce (see 2d A, 2), it has a distributive force, and is equivalent to each, every."
An	conj.	If; -- a word used by old English authors.
Ana-		A prefix in words from the Greek, denoting up, upward, throughout, backward, back, again, anew.
Ana	adv.	Of each; an equal quantity; as, wine and honey, ana (or, contracted, aa), / ij., that is, of wine and honey, each, two ounces.
-ana		A suffix to names of persons or places, used to denote a collection of notable sayings, literary gossip, anecdotes, etc. Thus, Scaligerana is a book containing the sayings of Scaliger, Johnsoniana of Johnson, etc.
Anabaptism	n.	The doctrine of the Anabaptists.
Anabaptist	n.	A name sometimes applied to a member of any sect holding that rebaptism is necessary for those baptized in infancy.
Anabaptistic	a.	Alt. of Anabaptistical
Anabaptistical	a.	Relating or attributed to the Anabaptists, or their doctrines.
Anabaptistry	n.	The doctrine, system, or practice, of Anabaptists.
Anabaptize	v. t.	To rebaptize; to rechristen; also, to rename.
Anabas	n.	A genus of fishes, remarkable for their power of living long out of water, and of making their way on land for considerable distances, and for climbing trees; the climbing fishes.
Anabasis	n.	"A journey or expedition up from the coast, like that of the younger Cyrus into Central Asia, described by Xenophon in his work called ""The Anabasis."""
Anabasis	n.	The first period, or increase, of a disease; augmentation.
Anabatic	a.	Pertaining to anabasis; as, an anabatic fever.
Anabolic	a.	Pertaining to anabolism; an anabolic changes, or processes, more or less constructive in their nature.
Anabolism	n.	The constructive metabolism of the body, as distinguished from katabolism.
Anacamptic	a.	Reflecting of reflected; as, an anacamptic sound (and echo).
Anacamptically	adv.	By reflection; as, echoes are sound produced anacamptically.
Anacamptics	n.	The science of reflected light, now called catoptrics.
Anacamptics	n.	The science of reflected sounds.
Anacanthini	n. pl.	Alt. of Anacanths
Anacanths	n. pl.	A group of teleostean fishes destitute of spiny fin-rays, as the cod.
Anacanthous	a.	Spineless, as certain fishes.
Anacardiaceous	a.	Belonging to, or resembling, a family, or order, of plants of which the cashew tree is the type, and the species of sumac are well known examples.
Anacardic	a.	Pertaining to, or derived from, the cashew nut; as, anacardic acid.
Anacardium	n.	A genus of plants including the cashew tree. See Cashew.
Anacathartic	a.	Producing vomiting or expectoration.
Anacathartic	n.	An anacathartic medicine; an expectorant or an emetic.
Anacharis	n.	A fresh-water weed of the frog's-bit family (Hydrocharidaceae), native to America. Transferred to England it became an obstruction to navigation. Called also waterweed and water thyme.
Anachoret	a.	Alt. of Anachoretical
Anachoretical	a.	See Anchoret, Anchoretic.
Anachorism	n.	An error in regard to the place of an event or a thing; a referring something to a wrong place.
Anachronic	a.	Alt. of Anachronical
Anachronical	a.	Characterized by, or involving, anachronism; anachronistic.
Anachronism	n.	A misplacing or error in the order of time; an error in chronology by which events are misplaced in regard to each other, esp. one by which an event is placed too early; falsification of chronological relation.
Anachronistic	a.	Erroneous in date; containing an anachronism.
Anachronize	v. t.	To refer to, or put into, a wrong time.
Anachronous	a.	Containing an anachronism; anachronistic.
Anaclastic	a.	Produced by the refraction of light, as seen through water; as, anaclastic curves.
Anaclastic	a.	Springing back, as the bottom of an anaclastic glass.
Anaclastics	n.	That part of optics which treats of the refraction of light; -- commonly called dioptrics.
Anacoenosis	n.	A figure by which a speaker appeals to his hearers or opponents for their opinion on the point in debate.
Anacoluthic	a.	Lacking grammatical sequence.
Anacoluthon	n.	A want of grammatical sequence or coherence in a sentence; an instance of a change of construction in a sentence so that the latter part does not syntactically correspond with the first part.
Anaconda	n.	A large South American snake of the Boa family (Eunectes murinus), which lives near rivers, and preys on birds and small mammals. The name is also applied to a similar large serpent (Python tigris) of Ceylon.
Anacreontic	a.	Pertaining to, after the manner of, or in the meter of, the Greek poet Anacreon; amatory and convivial.
Anacreontic	n.	A poem after the manner of Anacreon; a sprightly little poem in praise of love and wine.
Anacrotic	a.	Pertaining to anachronism.
Anacrotism	n.	A secondary notch in the pulse curve, obtained in a sphygmographic tracing.
Anacrusis	n.	A prefix of one or two unaccented syllables to a verse properly beginning with an accented syllable.
Anadem	n.	A garland or fillet; a chaplet or wreath.
Anadiplosis	n.	"A repetition of the last word or any prominent word in a sentence or clause, at the beginning of the next, with an adjunct idea; as, ""He retained his virtues amidst all his misfortunes -- misfortunes which no prudence could foresee or prevent."""
Anadrom	n.	A fish that leaves the sea and ascends rivers.
Anadromous	a.	Ascending rivers from the sea, at certain seasons, for breeding, as the salmon, shad, etc.
Anadromous	a.	Tending upwards; -- said of terns in which the lowest secondary segments are on the upper side of the branch of the central stem.
Anaemia	a.	A morbid condition in which the blood is deficient in quality or in quantity.
Anaemic	a.	Of or pertaining to anaemia.
Anaerobic	a.	Relating to, or like, anaerobies; anaerobiotic.
Anaerobies	n. pl.	Microorganisms which do not require oxygen, but are killed by it.
Anaerobiotic	a.	Related to, or of the nature of, anaerobies.
Anaesthesia	n.	Entire or partial loss or absence of feeling or sensation; a state of general or local insensibility produced by disease or by the inhalation or application of an anaesthetic.
Anaesthesis	n.	See Anaesthesia.
Anaesthetic	a.	Capable of rendering insensible; as, anaesthetic agents.
Anaesthetic	a.	Characterized by, or connected with, insensibility; as, an anaesthetic effect or operation.
Anaesthetic	n.	That which produces insensibility to pain, as chloroform, ether, etc.
Anaesthetization	n.	The process of anaesthetizing; also, the condition of the nervous system induced by anaesthetics.
Anaesthetize	v. t.	To render insensible by an anaesthetic.
Anaglyph	n.	Any sculptured, chased, or embossed ornament worked in low relief, as a cameo.
Anaglyphic	a.	Alt. of Anaglyphical
Anaglyphical	a.	Pertaining to the art of chasing or embossing in relief; anaglyptic; -- opposed to diaglyptic or sunk work.
Anaglyphic	n.	Work chased or embossed relief.
Anaglyptic	a.	Relating to the art of carving, enchasing, or embossing in low relief.
Anaglyptics	n.	The art of carving in low relief, embossing, etc.
Anaglyptograph	n.	An instrument by which a correct engraving of any embossed object, such as a medal or cameo, can be executed.
Anaglyptographic	a.	Of or pertaining to anaglyptography; as, anaglyptographic engraving.
Anaglyptography	n.	The art of copying works in relief, or of engraving as to give the subject an embossed or raised appearance; -- used in representing coins, bas-reliefs, etc.
Anagnorisis	n.	The unfolding or denouement.
Anagoge	n.	An elevation of mind to things celestial.
Anagoge	n.	The spiritual meaning or application; esp. the application of the types and allegories of the Old Testament to subjects of the New.
Anagogic	a.	Alt. of Anagogical
Anagogical	a.	Mystical; having a secondary spiritual meaning; as, the rest of the Sabbath, in an anagogical sense, signifies the repose of the saints in heaven; an anagogical explication.
Anagogics	n. pl.	Mystical interpretations or studies, esp. of the Scriptures.
Anagogy	n.	Same as Anagoge.
Anagram	n.	Literally, the letters of a word read backwards, but in its usual wider sense, the change or one word or phrase into another by the transposition of its letters. Thus Galenus becomes angelus; William Noy (attorney-general to Charles I., and a laborious man) may be turned into I moyl in law.
Anagram	v. t.	To anagrammatize.
Anagrammatic	a.	Alt. of Anagrammatical
Anagrammatical	a.	Pertaining to, containing, or making, an anagram.
Anagrammatism	n.	The act or practice of making anagrams.
Anagrammatist	n.	A maker anagrams.
Anagrammatize	v. t.	To transpose, as the letters of a word, so as to form an anagram.
Anagraph	n.	An inventory; a record.
Anakim	n. pl.	Alt. of Anaks
Anaks	n. pl.	A race of giants living in Palestine.
Anal	a.	Pertaining to, or situated near, the anus; as, the anal fin or glands.
Analcime	n.	A white or flesh-red mineral, of the zeolite family, occurring in isometric crystals. By friction, it acquires a weak electricity; hence its name.
Analcite	n.	Analcime.
Analectic	a.	Relating to analects; made up of selections; as, an analectic magazine.
Analects	n. pl.	Alt. of Analecta
Analecta	n. pl.	A collection of literary fragments.
Analemma	n.	An orthographic projection of the sphere on the plane of the meridian, the eye being supposed at an infinite distance, and in the east or west point of the horizon.
Analemma	n.	An instrument of wood or brass, on which this projection of the sphere is made, having a movable horizon or cursor; -- formerly much used in solving some common astronomical problems.
Analemma	n.	A scale of the sun's declination for each day of the year, drawn across the torrid zone on an artificial terrestrial globe.
Analepsis		Alt. of Analepsy
Analepsy		Recovery of strength after sickness.
Analepsy		A species of epileptic attack, originating from gastric disorder.
Analeptic	a.	Restorative; giving strength after disease.
Analeptic	n.	A restorative.
Analgesia	n.	Absence of sensibility to pain.
Anallagmatic	a.	Not changed in form by inversion.
Anallantoic	a.	Without, or not developing, an allantois.
Anallantoidea	n. pl.	The division of Vertebrata in which no allantois is developed. It includes amphibians, fishes, and lower forms.
Analogal	a.	Analogous.
Analogic	a.	Of or belonging to analogy.
Analogical	a.	Founded on, or of the nature of, analogy; expressing or implying analogy.
Analogical	a.	Having analogy; analogous.
Analogically	adv.	In an analogical sense; in accordance with analogy; by way of similitude.
Analogicalness	n.	Quality of being analogical.
Analogism	n.	an argument from the cause to the effect; an a priori argument.
Analogism	n.	Investigation of things by the analogy they bear to each other.
Analogist	n.	One who reasons from analogy, or represent, by analogy.
Analogize	v. i.	To employ, or reason by, analogy.
Analogon	n.	Analogue.
Analogous	a.	Having analogy; corresponding to something else; bearing some resemblance or proportion; -- often followed by to.
Analogue	n.	That which is analogous to, or corresponds with, some other thing.
Analogue	n.	"A word in one language corresponding with one in another; an analogous term; as, the Latin ""pater"" is the analogue of the English ""father."""
Analogue	n.	An organ which is equivalent in its functions to a different organ in another species or group, or even in the same group; as, the gill of a fish is the analogue of a lung in a quadruped, although the two are not of like structural relations.
Analogue	n.	A species in one genus or group having its characters parallel, one by one, with those of another group.
Analogue	n.	A species or genus in one country closely related to a species of the same genus, or a genus of the same group, in another: such species are often called representative species, and such genera, representative genera.
Analogies	pl.	of Analogy
Analogy	n.	A resemblance of relations; an agreement or likeness between things in some circumstances or effects, when the things are otherwise entirely different. Thus, learning enlightens the mind, because it is to the mind what light is to the eye, enabling it to discover things before hidden.
Analogy	n.	A relation or correspondence in function, between organs or parts which are decidedly different.
Analogy	n.	Proportion; equality of ratios.
Analogy	n.	Conformity of words to the genius, structure, or general rules of a language; similarity of origin, inflection, or principle of pronunciation, and the like, as opposed to anomaly.
Analyse	n.	Alt. of Analyser
Analyser	n.	Same as Analyze, Analyzer, etc.
Analyses	pl.	of Analysis
Analysis	n.	A resolution of anything, whether an object of the senses or of the intellect, into its constituent or original elements; an examination of the component parts of a subject, each separately, as the words which compose a sentence, the tones of a tune, or the simple propositions which enter into an argument. It is opposed to synthesis.
Analysis	n.	The separation of a compound substance, by chemical processes, into its constituents, with a view to ascertain either (a) what elements it contains, or (b) how much of each element is present. The former is called qualitative, and the latter quantitative analysis.
Analysis	n.	The tracing of things to their source, and the resolving of knowledge into its original principles.
Analysis	n.	The resolving of problems by reducing the conditions that are in them to equations.
Analysis	n.	A syllabus, or table of the principal heads of a discourse, disposed in their natural order.
Analysis	n.	A brief, methodical illustration of the principles of a science. In this sense it is nearly synonymous with synopsis.
Analysis	n.	The process of ascertaining the name of a species, or its place in a system of classification, by means of an analytical table or key.
Analyst	n.	One who analyzes; formerly, one skilled in algebraical geometry; now commonly, one skilled in chemical analysis.
Analytic	a.	Alt. of Analytical
Analytical	a.	Of or pertaining to analysis; resolving into elements or constituent parts; as, an analytical experiment; analytic reasoning; -- opposed to synthetic.
Analytically	adv.	In an analytical manner.
Analytics	n.	The science of analysis.
Analyzable	a.	That may be analyzed.
Analyzation	n.	The act of analyzing, or separating into constituent parts; analysis.
Analyzed	imp. & p. p.	of Analyze
Analyzing	p. pr. & vb. n.	of Analyze
Analyze	v. t.	To subject to analysis; to resolve (anything complex) into its elements; to separate into the constituent parts, for the purpose of an examination of each separately; to examine in such a manner as to ascertain the elements or nature of the thing examined; as, to analyze a fossil substance; to analyze a sentence or a word; to analyze an action to ascertain its morality.
Analyzer	n.	One who, or that which, analyzes.
Analyzer	n.	The part of a polariscope which receives the light after polarization, and exhibits its properties.
Anamese	a.	Of or pertaining to Anam, to southeastern Asia.
Anamese	n.	A native of Anam.
Anamnesis	n.	A recalling to mind; recollection.
Anamnestic	a.	Aiding the memory; as, anamnestic remedies.
Anamniotic	a.	Without, or not developing, an amnion.
Anamorphism	n.	A distorted image.
Anamorphism	n.	A gradual progression from one type to another, generally ascending.
Anamorphosis	n.	A distorted or monstrous projection or representation of an image on a plane or curved surface, which, when viewed from a certain point, or as reflected from a curved mirror or through a polyhedron, appears regular and in proportion; a deformation of an image.
Anamorphosis	n.	Same as Anamorphism, 2.
Anamorphosis	n.	A morbid or monstrous development, or change of form, or degeneration.
Anamorphosy	n.	Same as Anamorphosis.
Anan	interj.	An expression equivalent to What did you say? Sir? Eh?
Ananas	n.	The pineapple (Ananassa sativa).
Anandrous	a.	Destitute of stamens, as certain female flowers.
Anangular	a.	Containing no angle.
Anantherous	a.	Destitute of anthers.
Ananthous	a.	Destitute of flowers; flowerless.
Anapaest		Alt. of Anapaestic
Anapaestic		Same as Anapest, Anapestic.
Anapest	n.	A metrical foot consisting of three syllables, the first two short, or unaccented, the last long, or accented (/ / -); the reverse of the dactyl. In Latin d/-/-tas, and in English in-ter-vene#, are examples of anapests.
Anapest	n.	A verse composed of such feet.
Anapestic	a.	Pertaining to an anapest; consisting of an anapests; as, an anapestic meter, foot, verse.
Anapestic	n.	Anapestic measure or verse.
Anapestical	a.	Anapestic.
Anaphora	n.	A repetition of a word or of words at the beginning of two or more successive clauses.
Anaphrodisia	n.	Absence of sexual appetite.
Anaphrodisiac	a. & n.	Same as Antaphrodisiac.
Anaphroditic	a.	Produced without concourse of sexes.
Anaplastic	a.	Of or pertaining to anaplasty.
Anaplasty	n.	The art of operation of restoring lost parts or the normal shape by the use of healthy tissue.
Anaplerotic	a.	Filling up; promoting granulation of wounds or ulcers.
Anaplerotic	n.	A remedy which promotes such granulation.
Anapnograph	n.	A form of spirometer.
Anapnoic	a.	Relating to respiration.
Anapodeictic	a.	Not apodeictic; undemonstrable.
Anapophysis	n.	An accessory process in many lumbar vertebrae.
Anaptotic	a.	Having lost, or tending to lose, inflections by phonetic decay; as, anaptotic languages.
Anaptichi	pl.	of Anaptychus
Anaptychus	n.	One of a pair of shelly plates found in some cephalopods, as the ammonites.
Anarch	n.	The author of anarchy; one who excites revolt.
Anarchal	a.	Lawless; anarchical.
Anarchic	a.	Alt. of Anarchical
Anarchical	a.	Pertaining to anarchy; without rule or government; in political confusion; tending to produce anarchy; as, anarchic despotism; anarchical opinions.
Anarchism	n.	The doctrine or practice of anarchists.
Anarchist	n.	An anarch; one who advocates anarchy of aims at the overthrow of civil government.
Anarchize	v. t.	To reduce to anarchy.
Anarchy	n.	Absence of government; the state of society where there is no law or supreme power; a state of lawlessness; political confusion.
Anarchy	n.	Hence, confusion or disorder, in general.
Anarthropoda	n. pl.	One of the divisions of Articulata in which there are no jointed legs, as the annelids; -- opposed to Arthropoda.
Anarthropodous	a.	Having no jointed legs; pertaining to Anarthropoda.
Anarthrous	a.	Used without the article; as, an anarthrous substantive.
Anarthrous	a.	Without joints, or having the joints indistinct, as some insects.
Anas	n.	A genus of water fowls, of the order Anseres, including certain species of fresh-water ducks.
Anasarca	n.	Dropsy of the subcutaneous cellular tissue; an effusion of serum into the cellular substance, occasioning a soft, pale, inelastic swelling of the skin.
Anasarcous	a.	Belonging, or affected by, anasarca, or dropsy; dropsical.
Anastaltic	a. & n.	Styptic.
Anastate	n.	One of a series of substances formed, in secreting cells, by constructive or anabolic processes, in the production of protoplasm; -- opposed to katastate.
Anastatic	a.	Pertaining to a process or a style of printing from characters in relief on zinc plates.
Anastomozed	imp. p. p.	of Anastomose
Anastomosing	p. pr. & vb. n.	of Anastomose
Anastomose	v. i.	To inosculate; to intercommunicate by anastomosis, as the arteries and veins.
Anastomoses	pl.	of Anastomosis
Anastomosis	n.	The inosculation of vessels, or intercommunication between two or more vessels or nerves, as the cross communication between arteries or veins.
Anastomotic	a.	Of or pertaining to anastomosis.
Anastrophe	n.	An inversion of the natural order of words; as, echoed the hills, for, the hills echoed.
Anathemas	pl.	of Anathema
Anathema	n.	A ban or curse pronounced with religious solemnity by ecclesiastical authority, and accompanied by excommunication. Hence: Denunciation of anything as accursed.
Anathema	n.	An imprecation; a curse; a malediction.
Anathema	n.	Any person or thing anathematized, or cursed by ecclesiastical authority.
Anathematic	a.	Alt. of Anathematical
Anathematical	a.	Pertaining to, or having the nature of, an anathema.
Anathematism	n.	Anathematization.
Anathematization	n.	The act of anathematizing, or denouncing as accursed; imprecation.
Anathematized	imp. & p. p.	of Anathematize
Anathematizing	p. pr. & vb. n.	of Anathematize
Anathematize	v. t.	To pronounce an anathema against; to curse. Hence: To condemn publicly as something accursed.
Anathematizer	n.	One who pronounces an anathema.
Anatifae	pl.	of Anatifa
Anatifa	n.	An animal of the barnacle tribe, of the genus Lepas, having a fleshy stem or peduncle; a goose barnacle. See Cirripedia.
Anatifer	n.	Same as Anatifa.
Anatiferous	a.	Producing ducks; -- applied to Anatifae, under the absurd notion of their turning into ducks or geese. See Barnacle.
Anatine	a.	Of or pertaining to the ducks; ducklike.
Anatocism	n.	Compound interest.
Anatomic	a.	Alt. of Anatomical
Anatomical	a.	Of or relating to anatomy or dissection; as, the anatomic art; anatomical observations.
Anatomically	adv.	In an anatomical manner; by means of dissection.
Anatomism	n.	The application of the principles of anatomy, as in art.
Anatomism	n.	The doctrine that the anatomical structure explains all the phenomena of the organism or of animal life.
Anatomist	n.	One who is skilled in the art of anatomy, or dissection.
Anatomization	n.	The act of anatomizing.
Anatomized	imp. & p. p.	of Anatomize
Anatomizing	p. pr. & vb. n.	of Anatomize
Anatomize	v. t.	To dissect; to cut in pieces, as an animal vegetable body, for the purpose of displaying or examining the structure and use of the several parts.
Anatomize	v. t.	To discriminate minutely or carefully; to analyze.
Anatomizer	n.	A dissector.
Anatomies	pl.	of Anatomy
Anatomy	n.	The art of dissecting, or artificially separating the different parts of any organized body, to discover their situation, structure, and economy; dissection.
Anatomy	n.	The science which treats of the structure of organic bodies; anatomical structure or organization.
Anatomy	n.	A treatise or book on anatomy.
Anatomy	n.	The act of dividing anything, corporeal or intellectual, for the purpose of examining its parts; analysis; as, the anatomy of a discourse.
Anatomy	n.	A skeleton; anything anatomized or dissected, or which has the appearance of being so.
Anatreptic	a.	Overthrowing; defeating; -- applied to Plato's refutative dialogues.
Anatron	n.	Native carbonate of soda; natron.
Anatron	n.	Glass gall or sandiver.
Anatron	n.	Saltpeter.
Anatropal	a.	Alt. of Anatropous
Anatropous	a.	Having the ovule inverted at an early period in its development, so that the chalaza is as the apparent apex; -- opposed to orthotropous.
Anatto	n.	Same as Annotto.
Anbury	n.	Alt. of Ambury
Ambury	n.	A soft tumor or bloody wart on horses or oxen.
Ambury	n.	A disease of the roots of turnips, etc.; -- called also fingers and toes.
-ance		A suffix signifying action; also, quality or state; as, assistance, resistance, appearance, elegance. See -ancy.
Ancestor	n.	One from whom a person is descended, whether on the father's or mother's side, at any distance of time; a progenitor; a fore father.
Ancestor	n.	An earlier type; a progenitor; as, this fossil animal is regarded as the ancestor of the horse.
Ancestor	n.	One from whom an estate has descended; -- the correlative of heir.
Ancestorial	a.	Ancestral.
Ancestorially	adv.	With regard to ancestors.
Ancestral	a.	Of, pertaining to, derived from, or possessed by, an ancestor or ancestors; as, an ancestral estate.
Ancestress	n.	A female ancestor.
Ancestry	n.	Condition as to ancestors; ancestral lineage; hence, birth or honorable descent.
Ancestry	n.	A series of ancestors or progenitors; lineage, or those who compose the line of natural descent.
Anchor	n.	A iron instrument which is attached to a ship by a cable (rope or chain), and which, being cast overboard, lays hold of the earth by a fluke or hook and thus retains the ship in a particular station.
Anchor	n.	Any instrument or contrivance serving a purpose like that of a ship's anchor, as an arrangement of timber to hold a dam fast; a contrivance to hold the end of a bridge cable, or other similar part; a contrivance used by founders to hold the core of a mold in place.
Anchor	n.	Fig.: That which gives stability or security; that on which we place dependence for safety.
Anchor	n.	An emblem of hope.
Anchor	n.	A metal tie holding adjoining parts of a building together.
Anchor	n.	Carved work, somewhat resembling an anchor or arrowhead; -- a part of the ornaments of certain moldings. It is seen in the echinus, or egg-and-anchor (called also egg-and-dart, egg-and-tongue) ornament.
Anchor	n.	One of the anchor-shaped spicules of certain sponges; also, one of the calcareous spinules of certain Holothurians, as in species of Synapta.
Anchored	imp. & p. p.	of Anchor
Anchoring	p. pr. & vb. n.	of Anchor
Anchor	v. t.	To place at anchor; to secure by an anchor; as, to anchor a ship.
Anchor	v. t.	To fix or fasten; to fix in a stable condition; as, to anchor the cables of a suspension bridge.
Anchor	v. i.	To cast anchor; to come to anchor; as, our ship (or the captain) anchored in the stream.
Anchor	v. i.	To stop; to fix or rest.
Anchor	n.	An anchoret.
Anchorable	a.	Fit for anchorage.
Anchorage	n.	The act of anchoring, or the condition of lying at anchor.
Anchorage	n.	A place suitable for anchoring or where ships anchor; a hold for an anchor.
Anchorage	n.	The set of anchors belonging to a ship.
Anchorage	n.	Something which holds like an anchor; a hold; as, the anchorages of the Brooklyn Bridge.
Anchorage	n.	Something on which one may depend for security; ground of trust.
Anchorage	n.	A toll for anchoring; anchorage duties.
Anchorage	n.	Abode of an anchoret.
Anchorate	a.	Anchor-shaped.
Anchored	a.	Held by an anchor; at anchor; held safely; as, an anchored bark; also, shaped like an anchor; forked; as, an anchored tongue.
Anchored	a.	Having the extremities turned back, like the flukes of an anchor; as, an anchored cross.
Anchoress	n.	A female anchoret.
Anchoret	n.	Alt. of Anchorite
Anchorite	n.	One who renounces the world and secludes himself, usually for religious reasons; a hermit; a recluse.
Anchoretic	a.	Alt. of Anchoretical
Anchoretical	a.	Pertaining to an anchoret or hermit; after the manner of an anchoret.
Anchoretish	a.	Hermitlike.
Anchoretism	n.	The practice or mode of life of an anchoret.
Anchor-hold	n.	The hold or grip of an anchor, or that to which it holds.
Anchor-hold	n.	Hence: Firm hold: security.
Anchorite	n.	Same as Anchoret.
Anchoritess	n.	An anchoress.
Anchorless	a.	Without an anchor or stay. Hence: Drifting; unsettled.
Anchovy	n.	A small fish, about three inches in length, of the Herring family (Engraulis encrasicholus), caught in vast numbers in the Mediterranean, and pickled for exportation. The name is also applied to several allied species.
Anchovy pear		A West Indian fruit like the mango in taste, sometimes pickled; also, the tree (Grias cauliflora) bearing this fruit.
Anchusin	n.	A resinoid coloring matter obtained from alkanet root.
Anchylosed	imp. & p. p.	of Anchylose
Anchylosing	p. pr. & vb. n.	of Anchylose
Anchylose	v. t. & i.	To affect or be affected with anchylosis; to unite or consolidate so as to make a stiff joint; to grow together into one.
Anchylosis	n.	Alt. of Ankylosis
Ankylosis	n.	Stiffness or fixation of a joint; formation of a stiff joint.
Ankylosis	n.	The union of two or more separate bones to from a single bone; the close union of bones or other structures in various animals.
Anchylotic	a.	Of or pertaining to anchylosis.
Ancient	a.	Old; that happened or existed in former times, usually at a great distance of time; belonging to times long past; specifically applied to the times before the fall of the Roman empire; -- opposed to modern; as, ancient authors, literature, history; ancient days.
Ancient	a.	Old; that has been of long duration; of long standing; of great age; as, an ancient forest; an ancient castle.
Ancient	a.	Known for a long time, or from early times; -- opposed to recent or new; as, the ancient continent.
Ancient	a.	Dignified, like an aged man; magisterial; venerable.
Ancient	a.	Experienced; versed.
Ancient	a.	Former; sometime.
Ancient	n.	Those who lived in former ages, as opposed to the moderns.
Ancient	n.	An aged man; a patriarch. Hence: A governor; a ruler; a person of influence.
Ancient	n.	A senior; an elder; a predecessor.
Ancient	n.	One of the senior members of the Inns of Court or of Chancery.
Ancient	n.	An ensign or flag.
Ancient	n.	The bearer of a flag; an ensign.
Anciently	adv.	In ancient times.
Anciently	adv.	In an ancient manner.
Ancientness	n.	The quality of being ancient; antiquity; existence from old times.
Ancientry	n.	Antiquity; what is ancient.
Ancientry	n.	Old age; also, old people.
Ancientry	n.	Ancient lineage; ancestry; dignity of birth.
Ancienty	n.	Age; antiquity.
Ancienty	n.	Seniority.
Ancile	n.	The sacred shield of the Romans, said to have-fallen from heaven in the reign of Numa. It was the palladium of Rome.
Ancillary	a.	Subservient or subordinate, like a handmaid; auxiliary.
Ancille	n.	A maidservant; a handmaid.
Ancipital	a.	Alt. of Ancipitous
Ancipitous	a.	Two-edged instead of round; -- said of certain flattened stems, as those of blue grass, and rarely also of leaves.
Ancistroid	a.	Hook-shaped.
Ancle	n.	See Ankle.
Ancome	n.	A small ulcerous swelling, coming suddenly; also, a whitlow.
Ancones	pl.	of Ancon
Ancon	n.	The olecranon, or the elbow.
Ancon	n.	Alt. of Ancone
Ancone	n.	The corner or quoin of a wall, cross-beam, or rafter.
Ancone	n.	A bracket supporting a cornice; a console.
Anconal	a.	Alt. of Anconeal
Anconeal	a.	Of or pertaining to the ancon or elbow.
Anconeus	n.	A muscle of the elbow and forearm.
Anconoid	a.	Elbowlike; anconal.
Ancony	n.	A piece of malleable iron, wrought into the shape of a bar in the middle, but unwrought at the ends.
-ancy		A suffix expressing more strongly than -ance the idea of quality or state; as, constancy, buoyancy, infancy.
And	conj.	A particle which expresses the relation of connection or addition. It is used to conjoin a word with a word, a clause with a clause, or a sentence with a sentence.
And	conj.	In order to; -- used instead of the infinitival to, especially after try, come, go.
And	conj.	It is sometimes, in old songs, a mere expletive.
And	conj.	If; though. See An, conj.
Andabatism	n.	Doubt; uncertainty.
Andalusite	n.	A silicate of aluminium, occurring usually in thick rhombic prisms, nearly square, of a grayish or pale reddish tint. It was first discovered in Andalusia, Spain.
Andante	a.	Moving moderately slow, but distinct and flowing; quicker than larghetto, and slower than allegretto.
Andante	n.	A movement or piece in andante time.
Andantino	a.	Rather quicker than andante; between that allegretto.
Andarac	n.	Red orpiment.
Andean	a.	Pertaining to the Andes.
Andesine	n.	A kind of triclinic feldspar found in the Andes.
Andesite	n.	An eruptive rock allied to trachyte, consisting essentially of a triclinic feldspar, with pyroxene, hornblende, or hypersthene.
Andine	a.	Andean; as, Andine flora.
Andiron	n.	A utensil for supporting wood when burning in a fireplace, one being placed on each side; a firedog; as, a pair of andirons.
Andranatomy	n.	The dissection of a human body, especially of a male; androtomy.
Androecium	n.	The stamens of a flower taken collectively.
Androgyne	n.	An hermaphrodite.
Androgyne	n.	An androgynous plant.
Androgynous	a.	Alt. of Androgynal
Androgynal	a.	Uniting both sexes in one, or having the characteristics of both; being in nature both male and female; hermaphroditic.
Androgynal	a.	Bearing both staminiferous and pistilliferous flowers in the same cluster.
Androgyny	n.	Alt. of Androgynism
Androgynism	n.	Union of both sexes in one individual; hermaphroditism.
Android	n.	Alt. of Androides
Androides	n.	A machine or automaton in the form of a human being.
Android	a.	Resembling a man.
Andromeda	n.	A northern constellation, supposed to represent the mythical Andromeda.
Andromeda	n.	A genus of ericaceous flowering plants of northern climates, of which the original species was found growing on a rock surrounded by water.
